sim_cond,DGM,N_person,true_var,WLE_rel,beta_kind,N_item_mean,WLE_rel_bias_mean,WLE_rel_est_mean
30,Mixed,50,1,0.9,beta_unif,64.69,9.375763014326777e-4,0.900078642270963
31,Gaussian,100,1,0.5,beta_even,8.83,0.017537277897445143,0.5031959163098786
31,Gaussian,100,1,0.5,beta_norm,9.09,0.017703809421077087,0.4982786252059686
31,Gaussian,100,1,0.5,beta_unif,9.17,0.01620360577942217,0.501276438711339
32,Gaussian,100,1,0.6,beta_even,12.3,0.01066745138346879,0.6036117667839059
32,Gaussian,100,1,0.6,beta_norm,11.7,0.011186847859519108,0.6021688908452029
32,Gaussian,100,1,0.6,beta_unif,12.52,0.009314895362351685,0.6015235749540656
33,Gaussian,100,1,0.7,beta_even,15.87,0.0069172556997802925,0.7005922602615302
33,Gaussian,100,1,0.7,beta_norm,14.97,0.008480336300158809,0.7017470621466602
33,Gaussian,100,1,0.7,beta_unif,16.48,0.006228420301795812,0.701850080515452
34,Gaussian,100,1,0.8,beta_even,25.94,0.002734956187976999,0.8003645399610811
34,Gaussian,100,1,0.8,beta_norm,24,0.0030142822221815337,0.8002434717439622
34,Gaussian,100,1,0.8,beta_unif,25.92,0.0031346174553136,0.7992838816594489
35,Gaussian,100,1,0.9,beta_even,65.04,9.410155700119927e-4,0.8998237100871533
35,Gaussian,100,1,0.9,beta_norm,58.4,8.012873465513381e-4,0.8999695526033819
35,Gaussian,100,1,0.9,beta_unif,65,8.292846317926295e-4,0.899986981737855
36,ALD,100,1,0.5,beta_even,10.33,0.018681607693718624,0.5040131259970742
36,ALD,100,1,0.5,beta_norm,9,0.01580695217792098,0.5029470750390101
36,ALD,100,1,0.5,beta_unif,11.95,0.01875583028486807,0.4993948935222013
37,ALD,100,1,0.6,beta_even,15.89,0.008544796764441821,0.6028064449536503
37,ALD,100,1,0.6,beta_norm,12.91,0.00975503895453339,0.6015842171492158
37,ALD,100,1,0.6,beta_unif,17.16,0.00805866575880474,0.6033466837886134
38,ALD,100,1,0.7,beta_even,24.95,0.004402998649449637,0.7010118206069406
38,ALD,100,1,0.7,beta_norm,20.8,0.004425611172440847,0.7007241819311509
38,ALD,100,1,0.7,beta_unif,25.5,0.004935948675792259,0.6997369991228658
39,ALD,100,1,0.8,beta_even,35.97,0.05547357251141503,0.7615341250135861
39,ALD,100,1,0.8,beta_norm,27.1,0.0028898574481576868,0.7999489966326943
39,ALD,100,1,0.8,beta_unif,40.82,0.02225743473683962,0.7952805505636864
40,ALD,100,1,0.9,beta_even,58.86,7.257761281945729e-4,0.9000759822341895
40,ALD,100,1,0.9,beta_norm,52.03,8.456548242754447e-4,0.8999681994262055
40,ALD,100,1,0.9,beta_unif,59.02,6.489898026637986e-4,0.8999583627576785
41,Mixed,100,1,0.5,beta_even,8.05,0.018528829371653746,0.5005198014113931
41,Mixed,100,1,0.5,beta_norm,8.54,0.01757397262900349,0.5012876331581037
41,Mixed,100,1,0.5,beta_unif,8.73,0.02054932816857029,0.5052762548308186
42,Mixed,100,1,0.6,beta_even,11.33,0.012171578727478687,0.6012465913378787
42,Mixed,100,1,0.6,beta_norm,10.96,0.013790182451431317,0.6008838787059539
42,Mixed,100,1,0.6,beta_unif,11.62,0.009837999304602186,0.5989780238855236
43,Mixed,100,1,0.7,beta_even,18.29,0.005172891519408538,0.6996216447055777
43,Mixed,100,1,0.7,beta_norm,18.2,0.0049991487176997765,0.6995291878594859
43,Mixed,100,1,0.7,beta_unif,18.91,0.0057612879780244595,0.7006491679643216
44,Mixed,100,1,0.8,beta_even,25.43,0.0030746669761069667,0.8000124075122932
44,Mixed,100,1,0.8,beta_norm,24.14,0.0031952797232987985,0.8002755092078804
